,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9173796442759773-0.26540457469536005j),0.9550000000005987,-16.13553927158559
1,(0.9355583660061512-0.26095025764854496j),0.9712695265326414,-15.585094961096964
2,(0.9336237009198779-0.25408136628036143j),0.9675797412152782,-15.224081673215112
3,(0.9782830683776024-0.19739867812669218j),0.9980000000002315,-11.408003304298937
4,(0.9837714833846465-0.19033201062933017j),1.0020142742451483,-10.94983128228921
5,(0.9616186010370817-0.23535009271311155j),0.9900000000002952,-13.752446409508321
6,(0.9590313048567605-0.2428987320524655j),0.9893133162592911,-14.212717135592767
7,(1.0098197515902048-0.10241615740187189j),1.0149999999993438,-5.791149600134514
8,(1.0413945413689973+0.033807317654892755j),1.0419431488906499,1.8593688662682377
9,(1.0345376463694327+0.17953233202328298j),1.0499999999987255,9.84498774225571
10,(0.9553832506987483-0.23928364069309735j),0.9848927943786829,-14.060953469145023
11,(0.9580771627051409-0.2493755206576141j),0.9900000000001965,-14.589645245286766
12,(0.9324276241784323-0.2592513639264413j),0.9677977805454794,-15.53801169075203
13,(0.9481754010800103-0.26126299275937664j),0.9835115365865438,-15.405165729716295
14,(0.9326735973808709-0.266495704935582j),0.9700000000002513,-15.946391761017098
15,(0.9502471040542576-0.2543854925199574j),0.9837080550489177,-14.98692225796323
16,(0.9682055184127356-0.22952986079109494j),0.9950406438330314,-13.336747619315567
17,(0.9369578263291019-0.26237193386696206j),0.9730000000002287,-15.643592770720323
18,(0.925051536249778-0.2683650051053114j),0.9631926705925706,-16.177875559422578
19,(0.9233970905966727-0.2529270937552834j),0.9574102055430022,-15.318138761787795
20,(0.9304507902036415-0.22724340737795762j),0.9577986422977041,-13.724639512361401
21,(0.9505959091458799-0.1873214546240787j),0.9688766226137169,-11.147697892898119
22,(0.9935200042459298-0.10750849792086889j),0.9993198066495199,-6.175928365529306
23,(0.9852290696759377-0.11570514364460306j),0.9920000000001673,-6.6981258098662355
24,(1.0497116336906318+0.024606627012398703j),1.0499999999992298,1.342842814383469
25,(1.013364464255603+0.05759741818921476j),1.0149999999990682,3.2530666659654095
26,(0.9478872985193546-0.19629994729275962j),0.9680000000007543,-11.700111545849717
27,(0.9349729731624342-0.22391468663933162j),0.961411591066486,-13.467985316119314
28,(0.932483658371199-0.24099228368522332j),0.9631215156589298,-14.490532138070973
29,(0.9748924987077642-0.1399960469938748j),0.9848930283084448,-8.171894801638215
30,(0.9367241563080816-0.24007676895040836j),0.9670000000003904,-14.375143647107652
31,(0.9411278288100028-0.2054805373308477j),0.9632984176164746,-12.316358125370705
32,(0.9298301408009115-0.2806627827808498j),0.9712649939023508,-16.79607579308241
33,(0.9456940207974223-0.27792324399840285j),0.9856868217271605,-16.37715719477135
34,(0.9386865592932143-0.28372649242632864j),0.9806289711722169,-16.817916243698637
35,(0.9381031510278391-0.28348276496452934j),0.9800000000001506,-16.8141449631795
36,(0.9538888523667824-0.27181990606678863j),0.9918618875648842,-15.905417729964675
37,(0.9452414730423983-0.1778120747437747j),0.9618204490881074,-10.653573112266253
38,(0.9146600735911181-0.32343121522775803j),0.9701601935790882,-19.474007162081133
39,(0.907714017672927-0.34198722508395857j),0.9700000000002851,-20.644230390007827
40,(0.9015594386501582-0.3488165287827159j),0.9666862946019311,-21.151629961079756
41,(0.9275332312599058-0.33152240483689366j),0.9850000000001417,-19.66809612681725
42,(0.9369774367025602-0.2800578267763885j),0.9779361447601851,-16.641139850631436
43,(0.9533078644358588-0.2451918110669566j),0.9843347543440453,-14.42390203893088
44,(0.9620242728333926-0.21636005314539253j),0.9860539407748924,-12.67497490271842
45,(0.9899112474021037-0.17349559725476263j),1.004999999999988,-9.940909804632428
46,(1.00788457605817-0.13926080453031156j),1.0174600190348448,-7.866826647445026
47,(1.0094543082521428-0.14951574355614516j),1.0204670293644764,-8.425133807105421
48,(1.0164774934837948-0.1319033935909536j),1.024999999999955,-7.3936816150377425
49,(0.9873192473918281-0.16440739596249324j),1.0009141262453707,-9.454088996367375
50,(0.9449169539857768-0.20259484130433j),0.9663915974659989,-12.101286896878406
51,(0.9314576469171514-0.21620334218538775j),0.9562202848572962,-13.06768961737145
52,(0.9172207324421513-0.22942757598821958j),0.9454791825553573,-14.043438990485704
53,(0.9301509546557432-0.21643521329288168j),0.9550000000000657,-13.09896605019128
54,(0.9260980095510285-0.22055946297032902j),0.9520000000000718,-13.3960069382453
55,(0.9287667300256256-0.2179641282359016j),0.954000000000068,-13.20724220471345
56,(0.9492018051887906-0.20182898074428815j),0.9704220754094257,-12.004037361156414
57,(0.9346007337082046-0.21359293905481005j),0.9586972801995353,-12.873248711913837
58,(0.973199273679713-0.15201372868786123j),0.9850000000001562,-8.877862737440562
59,(0.9892538896879391-0.0874698043469621j),0.993113399836702,-5.052950598145933
60,(0.9923974456752584-0.07191877235621225j),0.9950000000000011,-4.1449633989902885
61,(0.9945283316560759-0.08317089354685897j),0.9980000000000003,-4.780435361983783
62,(0.9643328821943691-0.09299699598956716j),0.9688066623142011,-5.508376995450981
63,(0.9817276608606147-0.0643091072958997j),0.9838317241175188,-3.7478659197587123
64,(1.0049217084082545-0.012544320221417138j),1.0049999999999912,-0.7151793729571326
65,(1.0499287014882406-0.012236085615927107j),1.049999999999992,-0.6677066023373444
66,(1.017775097348909-0.05957449981453878j),1.019517174848827,-3.3499317050604147
67,(1.0029117961464344-0.022387479485909998j),1.003161637069221,-1.2787715751218287
68,(1.0349999999999993+0j),1.0349999999999993,0.0
69,(0.9772538052585431-0.11502608446756026j),0.9840000000001223,-6.713020188370693
70,(0.9795143044426201-0.12023064005637137j),0.9868655832564406,-6.997776014768715
71,(0.9717467810844359-0.12691805804653677j),0.9800000000031973,-7.441175309035713
72,(0.9831588919640007-0.1244170131152689j),0.9910000000002052,-7.212341705724245
73,(0.9492244717784012-0.12937117985500893j),0.9580000000000323,-7.761105522900266
74,(0.961145340987498-0.10939227382619494j),0.9673505238923682,-6.493149683000443
75,(0.935084114283228-0.1219290745277602j),0.9430000000000239,-7.4290932983063165
76,(1.0053669013868618-0.03568464089337753j),1.005999999999955,-2.032811455933688
77,(1.0024603832857997-0.04036737304454097j),1.003272816767219,-2.3059576414332073
