,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.977063904861482-0.27952677259260095j),1.0162623139619036,-15.965218049160443
1,(1.0232140410279305-0.07590928198904769j),1.0260259221134718,-4.242835292787558
2,(0.9862597658184589-0.3059821964931265j),1.0326342189967557,-17.236243920446718
3,(0.996703072164718-0.26357096323386736j),1.0309639502536525,-14.812393221868152
4,(1.0089828572056343-0.21475373863886457j),1.0315840122812174,-12.015636189130806
5,(1.0319495337255036-0.030371847199879648j),1.032396381850797,-1.68581544799007
6,(0.9739350028131359-0.19435000828793797j),0.9931371080702527,-11.285211218343871
7,(1.004555023938447-0.27044005993813397j),1.040321403288097,-15.067580784892096
8,(1.057463994022901-0.1117421220100371j),1.0633514943263924,-6.032054595606
9,(0.9593376932816708-0.22880469283638186j),0.986245606943295,-13.414592659788145
10,(0.9646760946452011-0.3454774557580312j),1.0246729429515349,-19.703864426084838
11,(0.9657870913387386-0.3826726505315889j),1.0388373613137971,-21.614896547383708
12,(1.0030076167494046-0.23190299957096855j),1.0294674742153505,-13.018462113742544
13,(1.0221033713693235-0.12925930073164935j),1.0302442761744286,-7.207593058918468
14,(1.0395651503639907-0.2205395297325923j),1.0627009861790755,-11.977488431846293
15,(1.0064787049018749-0.16730470506525033j),1.0202892961106305,-9.437852877627519
16,(1.0602729273120544+0.21340947020997747j),1.0815369999986946,11.380315355722901
17,(1.0061773872556599-0.15351524091982352j),1.0178211354748423,-8.674874383479095
18,(1.0302365541782093-0.135365078270032j),1.0390914598725378,-7.485341332729794
19,(1.0371295075637683-0.09396015566212226j),1.041377033696977,-5.176656975233846
20,(1.0582998907795376+0.09775381936468507j),1.0628049999997011,5.277363727144774
21,(1.0360563385052224-0.07104595878527235j),1.038489414879404,-3.922828237113992
22,(1.0146974597000018-0.33563515375798875j),1.0687665279001703,-18.302853016845393
23,(1.0037167026008182-0.37381560796661745j),1.0710673778242483,-20.42691024702237
24,(1.0381870774658222-0.07824641185756073j),1.0411315521035793,-4.31013767111741
25,(0.9913817598214161-0.22453082461769164j),1.0164899826904878,-12.761217118634955
26,(1.0506306850864695-0.10915098998079506j),1.056285366299776,-5.93123316364095
27,(1.0071437869373492-0.3518572654269355j),1.066837449099077,-19.25744883690558
28,(1.0011903744075947-0.1578952773747286j),1.0135645437877463,-8.962161971801628
29,(1.0194395639975045-0.10527334929301198j),1.024860723569203,-5.895802484417989
30,(0.9893263603904111-0.31824652660613206j),1.0392533372860562,-17.831945978801183
31,(1.037718149123652+0.09418706562351657j),1.041983762038251,5.186162789297997
32,(1.0372894428093273-0.11300407992318261j),1.0434267153197534,-6.217380674447987
33,(0.9551725236493712-0.23925737436773772j),0.9846820000000266,-14.062449904348762
34,(1.0349421748489815-0.22717106988897448j),1.0595810494132298,-12.380157000469628
35,(1.0283130672892478-0.102460443019034j),1.0334050061527076,-5.690133132661251
36,(1.0307520934513847-0.08195379736960183j),1.0340049821242208,-4.545951884788163
37,(1.023043177126677-0.20102489965646736j),1.042606518561695,-11.116814662794763
38,(0.962725384462438-0.4523783351616245j),1.0637134595425368,-25.168523184352384
39,(1.0032687994592435-0.20349898381690265j),1.023699233360514,-11.466085561042107
40,(0.9871980706453208-0.15562368730277695j),0.9993891948262981,-8.95848673148373
41,(0.8237059555114885-0.583695199576435j),1.0095501905074697,-35.32218089955913
42,(1.0454369773730587-0.07672999636423412j),1.0482489999999869,-4.1977052575983835
43,(1.006630179231909-0.25987962468623876j),1.039635386598362,-14.475848912288866
44,(0.9926223853703399-0.3070292910245937j),1.0390217444718701,-17.18742763039964
45,(1.0435677022009031+0.15744578047445174j),1.0553779999915112,8.579655901587444
46,(1.020812966792319-0.3013536196338534j),1.0643651240235943,-16.447097687981373
47,(1.0167218664948716-0.14152059117363835j),1.026523955655664,-7.924257871210549
48,(1.0372056438049226-0.07321439044220095j),1.0397864658229627,-4.037703717657188
49,(0.9519825824334748-0.3835514448981702j),1.0263442639485942,-21.944384501318826
50,(1.0496707398975513+0.031054060545247366j),1.0501299999873448,1.6945768911949417
51,(1.0455221193764315+0.010808809563535762j),1.0455779896638824,0.5923137313768769
52,(1.0149373094503948-0.22211219089737896j),1.0389569613124694,-12.344186645133496
53,(1.0431945518315417+0.0948928437376544j),1.0475015631318314,5.197532524036128
54,(1.0314054713697072-0.08311339147295466j),1.0347488015037778,-4.60709110701531
55,(1.0211865974313552-0.007644517004712608j),1.021215210136269,-0.42890337623395147
56,(1.0138742627973027-0.10121619748415339j),1.0189139999999632,-5.701012349731401
57,(0.949702788383282-0.4222157435262197j),1.039327436539794,-23.968817020418886
58,(0.9934504779889739-0.28383088769873477j),1.0332007670479018,-15.944750396633996
59,(1.029388064162831-0.14780227599570583j),1.0399448540333336,-8.170835875335642
60,(1.041209003248997-0.0700067454752886j),1.0435598367409564,-3.846550590351238
61,(1.062576997888405-0.03657449865546032j),1.0632062689776776,-1.9713746974042627
62,(1.0349534312271091-0.08393695274504759j),1.038351586335231,-4.636662938531645
63,(0.966700604514069-0.47158041910905596j),1.0755919999957881,-26.00426261418627
