,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9770639048614802-0.27952677259260644j),1.0162623139619034,-15.965218049160772
1,(1.02321404102793-0.07590928198904509j),1.026025922113471,-4.242835292787415
2,(0.9862597658184565-0.30598219649313557j),1.0326342189967561,-17.236243920447237
3,(0.9967030721647157-0.263570963233877j),1.0309639502536527,-14.812393221868705
4,(1.008982857205631-0.21475373863887293j),1.031584012281216,-12.015636189131298
5,(1.0319495337255038-0.030371847199879717j),1.0323963818507973,-1.6858154479900733
6,(0.9739350028131357-0.19435000828793889j),0.9931371080702526,-11.285211218343925
7,(1.004555023938445-0.2704400599381432j),1.0403214032880976,-15.067580784892614
8,(1.0574639940229014-0.11174212201003304j),1.0633514943263924,-6.03205459560578
9,(0.9593376932816708-0.22880469283638205j),0.986245606943295,-13.414592659788154
10,(0.964676094645201-0.3454774557580284j),1.0246729429515338,-19.703864426084696
11,(0.9657870913387396-0.3826726505315864j),1.0388373613137971,-21.61489654738356
12,(1.0030076167494044-0.23190299957096977j),1.0294674742153505,-13.018462113742613
13,(1.0221033713693226-0.1292593007316541j),1.0302442761744284,-7.207593058918736
14,(1.039565150363989-0.22053952973259744j),1.062700986179075,-11.97748843184658
15,(1.0064787049018746-0.16730470506525075j),1.0202892961106302,-9.437852877627542
16,(1.0602729273120532+0.21340947020997994j),1.081536999998694,11.380315355723042
17,(1.006177387255658-0.15351524091983376j),1.017821135474842,-8.674874383479679
18,(1.0302365541782093-0.13536507827003177j),1.039091459872538,-7.485341332729782
19,(1.0371295075637688-0.09396015566212045j),1.0413770336969772,-5.176656975233744
20,(1.0582998907795371+0.09775381936468704j),1.062804999999701,5.277363727144882
21,(1.036056338505222-0.0710459587852801j),1.038489414879404,-3.9228282371144196
22,(1.0146974597000027-0.3356351537579863j),1.0687665279001703,-18.302853016845255
23,(1.003716702600818-0.37381560796661967j),1.071067377824249,-20.426910247022484
24,(1.038187077465821-0.07824641185757103j),1.0411315521035789,-4.31013767111798
25,(0.9913817598214146-0.2245308246176971j),1.0164899826904878,-12.761217118635273
26,(1.0506306850864693-0.10915098998079231j),1.0562853662997755,-5.931233163640803
27,(1.007143786937346-0.3518572654269525j),1.0668374490990797,-19.257448836906494
28,(1.0011903744075925-0.15789527737473855j),1.0135645437877456,-8.962161971802201
29,(1.0194395639975027-0.10527334929302211j),1.0248607235692024,-5.895802484418563
30,(0.9893263603904068-0.3182465266061447j),1.039253337286056,-17.831945978801922
31,(1.0377181491236536+0.09418706562350625j),1.0419837620382517,5.186162789297424
32,(1.0372894428093267-0.11300407992318993j),1.0434267153197536,-6.217380674448391
33,(0.9551725236493717-0.239257374367738j),0.9846820000000271,-14.062449904348771
34,(1.0349421748489815-0.22717106988898011j),1.059581049413231,-12.380157000469925
35,(1.028313067289247-0.10246044301903934j),1.0334050061527076,-5.69013313266155
36,(1.0307520934513839-0.08195379736961217j),1.0340049821242205,-4.545951884788738
37,(1.0230431771266764-0.20102489965646883j),1.0426065185616946,-11.11681466279485
38,(0.9627253844624378-0.4523783351616261j),1.0637134595425373,-25.168523184352466
39,(1.0032687994592413-0.20349898381691198j),1.0236992333605135,-11.466085561042643
40,(0.9871980706453192-0.15562368730278625j),0.9993891948262978,-8.958486731484273
