,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9396056054023965-0.3876315270155531j),1.016423580226282,-22.4184515378895
1,(1.0170439323788394-0.127573853099143j),1.025013877166146,-7.149607804605001
2,(0.9361895522474627-0.4381461725405856j),1.0336454644844475,-25.08006906349248
3,(0.9523548061058275-0.3979364839822457j),1.0321497575434586,-22.677356436966505
4,(0.9746508363960531-0.33782820296157035j),1.0315387281162882,-19.1170627793542
5,(1.030272825578047-0.06122643813096388j),1.032090486270839,-3.4009395231772466
6,(0.9632689316982076-0.2413654672681592j),0.9930479966067013,-14.066930450184145
7,(0.9591358935056131-0.4055245876159237j),1.0413413721599059,-22.918739322962914
8,(1.0490677481745763-0.17379857860687242j),1.0633668634040865,-9.406726561351423
9,(0.947886825200954-0.272380182525497j),0.9862456069469547,-16.0322785446099
10,(0.9235081979791839-0.42444442049428804j),1.0163761399322062,-24.683514313912966
11,(0.9115345920103621-0.49755208173438903j),1.0384861031663937,-28.627479707384772
12,(0.9893911726675397-0.28392826880100963j),1.0293250965447154,-16.01203457519334
13,(0.9959496931177256-0.263574052572751j),1.0302364157856754,-14.823270899049044
14,(0.9965630205702546-0.3710997042315577j),1.0634156498984106,-20.424302488834734
15,(0.9991139836716433-0.20638171405465913j),1.0202069222782013,-11.671136622700002
16,(1.06963877095194+0.15998494317871462j),1.081536999999294,8.506620434451396
17,(0.9756778069316876-0.29233034643997946j),1.018530418980575,-16.67914686792627
18,(1.0259988193345266-0.16443078998381136j),1.039091459867967,-9.105031108910723
19,(1.0307973463112357-0.1480640305822574j),1.0413770336984338,-8.174071175296085
20,(1.0617299774476043+0.04779040703739209j),1.06280499999562,2.5772481499887983
21,(1.0207914255957216-0.19995839332963905j),1.0401915658342535,-11.083086085133433
22,(0.9598397443815102-0.4700231254592261j),1.0687441571118983,-26.090490996709153
23,(0.9386906709219794-0.5165700541933169j),1.0714405240447284,-28.824390675438686
24,(1.0164004842162562-0.22705007613822958j),1.0414517182228928,-12.592357214913108
25,(0.953535626292104-0.35163798903173266j),1.0163067774734929,-20.242601711351277
26,(1.0437560723251298-0.1622518593736388j),1.0562918178163574,-8.835908281274158
27,(0.9503810483999079-0.4880855058721965j),1.068387382085836,-27.18359153404193
28,(0.9704368222350036-0.2953476266511406j),1.014385452635256,-16.927366596707124
29,(0.9938445480487139-0.2514424237054452j),1.0251586599766014,-14.197891862643386
30,(0.9392090484094121-0.4449029530758374j),1.0392556347067425,-25.34689622748518
31,(1.0408073282265773-0.05231525687298952j),1.0421212888103923,-2.8774998344752825
32,(1.0148982913875881-0.2454089207541636j),1.0441475375861253,-13.593556306902775
