,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9002447784976916-0.31872298128539345j),0.9550000000061817,-19.496017749672415
1,(0.9186982334342507-0.31520658022459247j),0.9712680537998228,-18.937162412100452
2,(0.9171027857573131-0.3084268432914139j),0.967576682907629,-18.58808269806596
3,(0.9649431989876507-0.25473245322955806j),0.9980000000004358,-14.787980906280513
4,(0.9708114810014562-0.2480572226484476j),1.002001655364053,-14.333272308720908
5,(0.946143658367512-0.2913969418755007j),0.9900000000017442,-17.117985814243944
6,(0.943152875818281-0.2986653893429722j),0.9893120650005655,-17.57127600468045
7,(1.001911357547122-0.16247655703439248j),1.0149999999840724,-9.21127422135929
8,(1.0420361562093363-0.03287251527921692j),1.0425545324386205,-1.8068777731797667
9,(1.044386097767816+0.10843283064009872j),1.0499999999863385,5.927466273443984
10,(0.9397975184011017-0.29466821443768904j),0.9849105198914088,-17.408522389205906
11,(0.9418833207393467-0.3048865528625037j),0.9900000000016966,-17.936707828329105
12,(0.9161402976600675-0.3120961075041921j),0.9678414257077165,-18.812133498961657
13,(0.9317893220700673-0.3148106530539322j),0.983532962335294,-18.667850481075178
14,(0.9173098071090304-0.31534539443156345j),0.9700000000039201,-18.971533281800376
15,(0.9342567394210227-0.30793172462026136j),0.9836958890740619,-18.24225877903538
16,(0.9546176824782413-0.2808699635623619j),0.9950793215275106,-16.39506742095172
17,(0.9218489763240534-0.31132533603481866j),0.9730000000035446,-18.660770397999883
18,(0.9098398107268761-0.31603228250175824j),0.9631639968181893,-19.154638280599833
19,(0.9091337327367939-0.29986246087110097j),0.9573095839066945,-18.254269562581754
20,(0.9176079538674015-0.27408823807677424j),0.9576683764501935,-16.63081329079762
21,(0.9398989969186995-0.23468815465442755j),0.9687562409315762,-14.019799310668729
22,(0.9870505567804746-0.1562436883310396j),0.9993402282425801,-8.994916999575002
23,(0.9794343793360577-0.15739217444705575j),0.992000000001301,-9.129211473863675
24,(1.0494109606450055-0.03516582955228742j),1.0499999999476066,-1.9192671160695804
25,(1.0149983341786968-0.0018389045710721253j),1.0149999999781039,-0.10380446156764904
26,(0.93601881800413-0.24676460919329626j),0.9680000000042195,-14.768970264023393
27,(0.9216884782528894-0.27350333255619474j),0.9614123589092618,-16.527814494520864
28,(0.9183393334337618-0.29026145038687984j),0.9631193284906399,-17.540292560577363
29,(0.9661812173916061-0.19227758665721767j),0.9851278166669795,-11.25525900720299
30,(0.9226427361350404-0.2895157706677731j),0.9670000000041926,-17.421319086335195
31,(0.9289690200285143-0.2546178312089596j),0.963230855061388,-15.32757802506293
32,(0.9149494030894884-0.3257904036600616j),0.9712218064534985,-19.599531845594804
33,(0.9322522560197731-0.3198510563074391j),0.9855957422163212,-18.936836505350538
34,(0.9250579146794493-0.3253610756631894j),0.9806079619643107,-19.377776860263698
35,(0.9245022823410725-0.32510848950908655j),0.9800000000024143,-19.374624345317624
36,(0.9406977592527714-0.31406231938128704j),0.9917395901739219,-18.46215563784528
37,(0.9359628853749076-0.2198332805253893j),0.9614328858666511,-13.217705709638878
38,(0.900107023826535-0.36200932909705635j),0.9701769986425999,-21.9092398803559
39,(0.8928340582554186-0.37914027012030393j),0.9700000000039883,-23.008411236013636
40,(0.8867608402349119-0.38484384887586504j),0.9666693208081637,-23.460280455180644
41,(0.9144001985435304-0.3661929503791343j),0.9850000000019405,-21.82478794488257
42,(0.9244528733837767-0.31784795694163076j),0.9775686363828833,-18.974137042763747
43,(0.9436753545070647-0.2781473833170385j),0.9838135705255086,-16.422829323549678
44,(0.9540263736615983-0.24764383432375361j),0.9856438455753023,-14.551542205828163
45,(0.9841410677706507-0.20369427759956124j),1.004999999999783,-11.6937731537409
46,(1.0031830414475367-0.16635509099994342j),1.0168826043106103,-9.41552101417757
47,(1.0043074481752947-0.1809431230095294j),1.0204772727625118,-10.213245041096528
48,(1.0118400510809062-0.16372144339100853j),1.0249999999987542,-9.19112250917825
49,(0.981560021806209-0.195696727671448j),1.0008782571469512,-11.27539463220698
50,(0.9378088928441751-0.23301976481896883j),0.9663248575370009,-13.953845371733069
51,(0.9238740431453883-0.24632455358227406j),0.9561480185072359,-14.928993595026666
52,(0.9091416584485665-0.2594668552345192j),0.9454425440458564,-15.928619616232348
53,(0.9224519295012241-0.24719918641139949j),0.955000000001565,-15.001676927231353
54,(0.9182668930917294-0.25117705519174166j),0.9520000000016454,-15.29812261045178
55,(0.9210286541318135-0.2486407413743553j),0.9540000000015979,-15.107430057133193
56,(0.9420898220073708-0.23262573226709624j),0.9703854718835615,-13.870314776927684
57,(0.9270804263702401-0.2440110983934408j),0.958655064712016,-14.746023058239981
58,(0.9675399840843308-0.1846385095239621j),0.9850000000005774,-10.804021742991598
59,(0.9858298668232863-0.1200323712164565j),0.9931104150398704,-6.942031504817109
60,(0.9894901404009491-0.10456702180834226j),0.9950000000002795,-6.03249499658878
61,(0.9912616916158714-0.11577676250034728j),0.9980000000001106,-6.66181334728995
62,(0.9606386662914737-0.12397743768211555j),0.968605725890821,-7.35379095667751
63,(0.9790411063908661-0.09511659862743596j),0.9836506774955751,-5.549031452822609
64,(1.004152301727554-0.041269297716053505j),1.0049999999993637,-2.3534543546257125
65,(1.0489867550940617-0.0461171076425835j),1.0499999999905174,-2.5173008572247255
66,(1.0152885682136603-0.09264692703134225j),1.0195069052408106,-5.213904129199837
67,(1.0023221065004984-0.04321648412976358j),1.0032533427206383,-2.468856519947176
68,(1.035+1.3459324453213199e-16j),1.035,7.45084527793566e-15
69,(0.9754354124508036-0.1295444176252892j),0.9840000000004799,-7.564997943425567
70,(0.9772704084581998-0.1371063508075724j),0.9868412246556311,-7.986198494897579
71,(0.9676038312008002-0.15537961850667747j),0.9800000000008915,-9.122779679445483
72,(0.980865680416145-0.14136306795732648j),0.9910000000002698,-8.201039446403469
73,(0.9473731686319806-0.14229574609869594j),0.9580000000008265,-8.541989796211162
74,(0.9593666977558818-0.12199217908150875j),0.967091801495639,-7.246786360902303
75,(0.9328441354675459-0.1380247040406419j),0.9430000000009012,-8.416485416966854
76,(1.0042867173665584-0.058687215991044026j),1.0059999999998395,-3.344373714779033
77,(1.0012133613877536-0.06391308549026332j),1.003251253434677,-3.6525561763257004
78,(1.007217506829699-0.05886715305030405j),1.008936295200288,-3.3448653075362436
79,(1.0398250751320508-0.019073885767106575j),1.0399999999959768,-1.050879258684269
80,(0.9962605649940185-0.033259483242331446j),0.9968155830381805,-1.9120706063379704
81,(0.9868191070797584-0.04856868912943302j),0.9880135969010969,-2.8176766981336256
82,(0.9834678192087928-0.027597428037462984j),0.983854953462949,-1.6073747203378745
83,(0.9792684213626104+0.016521542909744225j),0.9794077814976444,0.966563262219458
84,(0.9840281600556869+0.043744487917120184j),0.9850000000028993,2.5453798539374457
85,(0.9862401481569353+0.019846736518078896j),0.9864398221822919,1.1528437376919625
86,(1.0146883811334+0.025149337617814203j),1.0149999999949433,1.4198013645693615
87,(0.9822543594109813+0.09873825989391528j),0.9872045738086689,5.740208912905702
88,(0.9901017899552275+0.17240488834878864j),1.004999999999554,9.877785967076607
89,(0.9833304412482836+0.057325764873025674j),0.9850000000019399,3.336427798872464
90,(0.9783214026415077+0.05733439751522686j),0.9800000000024903,3.3539753785675224
91,(0.9895585672494045+0.06703462168684203j),0.9918264961783347,3.8754067180546086
92,(0.9860972985047404+0.013904344319181965j),0.9861953218857273,0.807838594009419
93,(0.9895834941638456-0.02395321808532433j),0.9898733497666098,-1.3865938260159127
94,(0.979124858946866-0.04060614291287541j),0.9799665036367218,-2.374802493112915
95,(0.9909321554694532-0.04395917989077815j),0.9919067225500624,-2.540058079766744
96,(1.010144860365901-0.037971909937020404j),1.0108583010827534,-2.1527667709310747
97,(1.0222019157711857-0.04718804957551039j),1.023290510377685,-2.6430766281834184
98,(1.008592489697679-0.053302811546417445j),1.0099999999966909,-3.0251936634853114
99,(1.0163720741250706-0.03573243440565698j),1.0169999999655124,-2.0135094842380212
100,(0.9918461991676988-0.007101517736256802j),0.9918716219136269,-0.41022493414402494
101,(0.9896291296270037+0.040475349174634676j),0.9904564948028306,2.342064133332166
102,(0.9955358741307465-0.09911970997723414j),1.0004580918695398,-5.6858684891978895
103,(0.9603318331266067-0.14354013476479727j),0.9710000000023713,-8.50102598791358
104,(0.9520232301337915-0.16176936896279265j),0.9656694876866507,-9.643682862199443
105,(0.9469980506937558-0.16520272018754179j),0.9612997694658709,-9.89560238787589
106,(0.9285077698316702-0.21018401786644517j),0.9520000000022395,-12.754940227501121
107,(0.9492413345628177-0.18211367744981258j),0.9665528970299005,-10.860336866165516
108,(0.9484318322448132-0.1898495261244148j),0.9672464954627225,-11.31940970864964
109,(0.9511068195285993-0.20524331377470464j),0.9730000000015567,-12.177365636487577
110,(0.9635987533354563-0.17854255115577897j),0.9800000000014589,-10.497130209641993
111,(0.9402709523666263-0.2579060606851436j),0.9750000000013186,-15.338375840640111
112,(0.9526034952846582-0.2803490338375426j),0.9930000000011033,-16.399035680115418
113,(0.9244434232314319-0.2592683542782046j),0.9601123487831916,-15.666623273665673
114,(0.9243142537305431-0.25937422294501056j),0.9600165765119782,-15.674788762662525
115,(1.0037019629073414-0.051062409416795976j),1.0049999999997505,-2.9123589816416042
116,(0.9175535371069118-0.3250754384586405j),0.9734364561420957,-19.508471713447154
117,(0.9393176353590328-0.1364004115267019j),0.9491694750470742,-8.262296536414173
