,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9173796442759657-0.26540457469324513j),0.955,-16.13553927146389
1,(0.9355583660062925-0.26095025764646906j),0.9712695265322199,-15.585094960976768
2,(0.9336237009201854-0.2540813662780649j),0.9675797412149719,-15.224081673079107
3,(0.9782830683787552-0.19739867811980844j),0.998,-11.408003303898452
4,(0.9837714833886324-0.19033201062272098j),1.0020142742478062,-10.949831281874882
5,(0.9616186010375337-0.2353500927100232j),0.99,-13.75244640932849
6,(0.9590313048571847-0.24289873204978907j),0.9893133162590452,-14.212717135436474
7,(1.0098197515904912-0.10241615740555128j),1.015,-5.791149600339522
8,(1.0413945413691394+0.033807317655118456j),1.0419431488907993,1.8593688662803889
9,(1.034537646370097+0.1795323320269079j),1.05,9.8449877424444
10,(0.9553832506992704-0.2392836406905326j),0.9848927943785664,-14.060953468992908
11,(0.9580771627055268-0.24937552065535132j),0.99,-14.589645245154404
12,(0.9324276241786419-0.2592513639248052j),0.9677977805452431,-15.53801169065538
13,(0.9481754010802278-0.26126299275781073j),0.9835115365863376,-15.405165729624981
14,(0.9326735973807941-0.2664957049349355j),0.97,-15.946391760981626
15,(0.9502471040546564-0.25438549251843373j),0.9837080550489089,-14.986922257871496
16,(0.9682055184134879-0.22952986079031992j),0.9950406438335846,-13.336747619262152
17,(0.9369578263290425-0.2623719338663261j),0.973,-15.643592770685203
18,(0.9250515362497216-0.26836500510486255j),0.9631926705923913,-16.17787555939787
19,(0.9233970905969321-0.2529270937549175j),0.9574102055431557,-15.31813876176258
20,(0.9304507902042622-0.2272434073775259j),0.9577986422982047,-13.724639512327503
21,(0.9505959091472964-0.18732145462343552j),0.9688766226149823,-11.147697892844606
22,(0.9935200042496855-0.10750849792503812j),0.9993198066537023,-6.175928365743796
23,(0.9852290696754751-0.11570514364710781j),0.992,-6.698125810013033
24,(1.049711633691377+0.024606627013474682j),1.05,1.3428428144412132
25,(1.0133644642563935+0.057597418191722725j),1.015,3.253066666104222
26,(0.9478872985191686-0.19629994728993824j),0.968,-11.700111545688424
27,(0.9349729731624122-0.22391468663736466j),0.9614115910660065,-13.46798531600562
28,(0.9324836583712115-0.24099228368357664j),0.9631215156585299,-14.490532137975942
29,(0.9748924987104364-0.1399960469950185j),0.9848930283112525,-8.17189480168198
30,(0.9367241563080997-0.24007676894876537j),0.967,-14.375143647013084
31,(0.9411278288104528-0.20548053732879698j),0.9632984176164767,-12.31635812524583
32,(0.9298301408008163-0.2806627827809856j),0.9712649939022987,-16.796075793091703
33,(0.9456940207972633-0.27792324399912444j),0.9856868217272114,-16.3771571948142
34,(0.9386865592928944-0.28372649242701226j),0.9806289711721085,-16.81791624374228
35,(0.9381031510274835-0.2834827649651852j),0.98,-16.814144963222223
36,(0.9538888523667572-0.27181990606754114j),0.9918618875650662,-15.905417730006882
37,(0.9452414730429708-0.17781207474413163j),0.961820449088736,-10.653573112280846
38,(0.9146600735904904-0.3234312152289937j),0.9701601935789084,-19.47400716216229
39,(0.9077140176721004-0.3419872250853441j),0.97,-20.644230390101633
40,(0.9015594386492511-0.34881652878418506j),0.9666862946016154,-21.15162996118036
41,(0.9275332312592123-0.33152240483841305j),0.985,-19.668096126914055
42,(0.9369774367021597-0.2800578267772113j),0.9779361447600371,-16.64113985068434
43,(0.9533078644354439-0.2451918110675987j),0.9843347543438034,-14.423902038973091
44,(0.9620242728330561-0.21636005314587092j),0.986053940774669,-12.674974902749831
45,(0.989911247402051-0.17349559725513194j),1.005,-9.940909804653685
46,(1.0078845760581479-0.13926080453059733j),1.017460019034862,-7.8668266474611395
47,(1.0094543082521377-0.14951574355645988j),1.0204670293645175,-8.425133807122942
48,(1.016477493483804-0.13190339359123193j),1.025,-7.393681615053106
49,(0.9873192473917766-0.16440739596283635j),1.0009141262453762,-9.454088996387233
50,(0.9449169539856991-0.20259484130471947j),0.9663915974660046,-12.10128689690195
51,(0.9314576469170387-0.21620334218575965j),0.9562202848572705,-13.067689617394684
52,(0.9172207324419702-0.22942757598852923j),0.9454791825552569,-14.04343899050657
53,(0.9301509546556157-0.21643521329313925j),0.955,-13.098966050208066
54,(0.9260980095508959-0.22055946297057558j),0.952,-13.396006938261584
55,(0.9287667300254958-0.21796412823615632j),0.954,-13.207242204730123
56,(0.9492018051887059-0.20182898074465286j),0.9704220754094186,-12.004037361178517
57,(0.9346007337080988-0.21359293905515314j),0.9586972801995086,-12.873248711935233
58,(0.973199273679453-0.15201372868851373j),0.985,-8.877862737480397
59,(0.9892538896879074-0.08746980434699349j),0.9931133998366731,-5.0529505981478975
60,(0.9923974456752565-0.07191877235622472j),0.995,-4.144963398991013
61,(0.9945283316560759-0.08317089354685542j),0.998,-4.78043536198358
62,(0.964332882194314-0.092996995989665j),0.9688066623141557,-5.508376995457054
63,(0.9817276608606055-0.0643091072959178j),0.9838317241175107,-3.747865919759799
64,(1.0049217084082638-0.012544320221362832j),1.005,-0.7151793729540302
65,(1.0499287014882472-0.012236085616052071j),1.05,-0.6677066023441588
66,(1.0177750973488864-0.05957449981457355j),1.0195171748488063,-3.3499317050624398
67,(1.002911796146439-0.022387479485877448j),1.003161637069225,-1.2787715751199638
68,(1.035+0j),1.035,0.0
69,(0.9772538052584983-0.11502608446689488j),0.984,-6.713020188332521
70,(0.9795143044424656-0.12023064005512524j),0.9868655832561354,-6.997776014697998
71,(0.9717467810806842-0.12691805805057327j),0.98,-7.441175309298125
72,(0.9831588919639473-0.12441701311405584j),0.991,-7.212341705655054
73,(0.9492244717783811-0.12937117985491745j),0.958,-7.761105522895007
74,(0.9611453409874784-0.10939227382617187j),0.967350523892346,-6.493149682999216
75,(0.9350841142831958-0.12192907452782159j),0.943,-7.429093298310269
76,(1.0053669013869102-0.03568464089328487j),1.006,-2.032811455928316
77,(1.002460383285832-0.0403673730443961j),1.0032728167672456,-2.305957641424866
78,(1.008339234865005-0.03399450837897561j),1.00891210676058,-1.9309021841522618
79,(1.0399519642451516+0.00999560216551888j),1.04,0.5506871493854276
80,(0.9968079268423645-0.009857420350541263j),0.9968566656002958,-0.5665787342090248
81,(0.987353620817094-0.015961155168362832j),0.9874826231458124,-0.9261394893724308
