,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9173796442759659-0.2654045746932447j),0.955,-16.135539271463866
1,(0.9355583660062926-0.2609502576464688j),0.9712695265322199,-15.585094960976752
2,(0.9336237009201854-0.2540813662780646j),0.9675797412149719,-15.224081673079091
3,(0.9782830683787551-0.1973986781198085j),0.998,-11.408003303898456
4,(0.9837714833886322-0.1903320106227209j),1.002014274247806,-10.94983128187488
5,(0.9616186010375337-0.23535009271002305j),0.99,-13.75244640932848
6,(0.9590313048571851-0.24289873204978898j),0.9893133162590456,-14.212717135436463
7,(1.0098197515904912-0.10241615740555123j),1.015,-5.791149600339519
8,(1.04139454136914+0.03380731765511835j),1.0419431488907998,1.8593688662803827
9,(1.0345376463700973+0.17953233202690777j),1.05,9.844987742444392
10,(0.9553832506992705-0.23928364069053246j),0.9848927943785664,-14.0609534689929
11,(0.9580771627055269-0.2493755206553511j),0.99,-14.589645245154392
12,(0.9324276241786421-0.2592513639248049j),0.9677977805452432,-15.538011690655363
13,(0.9481754010802278-0.26126299275781034j),0.9835115365863375,-15.40516572962496
14,(0.9326735973807943-0.26649570493493513j),0.97,-15.946391760981603
15,(0.9502471040546566-0.2543854925184335j),0.983708055048909,-14.98692225787148
16,(0.9682055184134879-0.22952986079031962j),0.9950406438335845,-13.336747619262136
17,(0.9369578263290426-0.26237193386632573j),0.973,-15.643592770685181
18,(0.9250515362497219-0.26836500510486216j),0.9631926705923916,-16.177875559397844
19,(0.9233970905969321-0.2529270937549174j),0.9574102055431556,-15.318138761762574
20,(0.9304507902042624-0.22724340737752585j),0.9577986422982048,-13.724639512327498
21,(0.9505959091472966-0.18732145462343552j),0.9688766226149825,-11.147697892844606
22,(0.9935200042496857-0.10750849792503787j),0.9993198066537026,-6.175928365743779
23,(0.9852290696754751-0.11570514364710752j),0.992,-6.698125810013016
24,(1.049711633691377+0.02460662701347509j),1.05,1.3428428144412357
25,(1.0133644642563935+0.057597418191723135j),1.015,3.253066666104245
26,(0.9478872985191686-0.19629994728993785j),0.968,-11.7001115456884
27,(0.9349729731624125-0.22391468663736447j),0.9614115910660067,-13.467985316005604
28,(0.9324836583712118-0.2409922836835765j),0.9631215156585302,-14.49053213797593
29,(0.9748924987104364-0.13999604699501814j),0.9848930283112525,-8.171894801681958
30,(0.9367241563080998-0.24007676894876528j),0.9670000000000001,-14.37514364701308
31,(0.9411278288104535-0.2054805373287969j),0.9632984176164774,-12.316358125245817
32,(0.9298301408008165-0.28066278278098505j),0.9712649939022989,-16.796075793091667
33,(0.9456940207972637-0.2779232439991238j),0.9856868217272117,-16.37715719481416
34,(0.9386865592928945-0.28372649242701153j),0.9806289711721083,-16.81791624374224
35,(0.9381031510274837-0.28348276496518465j),0.98,-16.814144963222187
36,(0.9538888523667574-0.2718199060675405j),0.9918618875650662,-15.905417730006844
37,(0.9452414730429709-0.17781207474413122j),0.9618204490887361,-10.653573112280817
38,(0.9146600735904905-0.3234312152289931j),0.9701601935789083,-19.47400716216226
39,(0.9077140176721005-0.3419872250853438j),0.97,-20.644230390101605
40,(0.9015594386492511-0.3488165287841848j),0.9666862946016153,-21.15162996118035
41,(0.9275332312592124-0.3315224048384129j),0.985,-19.66809612691404
