,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9770639048561182-0.27952677260251146j),1.0162623139594726,-15.965218049780816
1,(1.0232140410217465-0.07590928199945306j),1.0260259221080748,-4.242835293392574
2,(0.9862597658045655-0.30598219653303815j),1.0326342189953126,-17.236243922790184
3,(0.9967030721462766-0.2635709632674157j),1.0309639502444008,-14.812393223932656
4,(1.0089828571951724-0.21475373866572484j),1.0315840122765767,-12.015636190710945
5,(1.0319495337251634-0.030371847200897823j),1.032396381850487,-1.6858154480471075
6,(0.9739350028121354-0.19435000829141064j),0.993137108069951,-11.285211218551638
7,(1.0045550239264553-0.2704400599759677j),1.0403214032863528,-15.067580787075842
8,(1.0574639940246924-0.11174212200765053j),1.0633514943279232,-6.032054595467974
9,(0.9593376932813198-0.22880469283774232j),0.9862456069432691,-13.414592659869754
10,(0.9646760945039481-0.345477455908655j),1.0246729428693366,-19.703864436676987
11,(0.9657870912953421-0.3826726506218227j),1.0388373613066912,-21.61489655289216
12,(1.0030076167483537-0.23190299957527172j),1.0294674742152958,-13.018462113989061
13,(1.0221033713664118-0.12925930075832312j),1.0302442761748865,-7.207593060410491
14,(1.039565150346628-0.22053952976251445j),1.0627009861683006,-11.9774884336187
15,(1.0064787049015391-0.16730470506744274j),1.0202892961106587,-9.43785287775206
16,(1.0602729273098581+0.21340947022750525j),1.081537,11.38031535665616
17,(1.0061773872478403-0.15351524093771898j),1.0178211354698115,-8.674874384541344
18,(1.0302365541781149-0.13536507827094318j),1.0390914598725631,-7.485341332780287
19,(1.0371295075659364-0.09396015565621937j),1.0413770336986037,-5.176656974899635
20,(1.0582998907790464+0.09775381937325145j),1.062805,5.2773637276070655
21,(1.036056338495674-0.0710459588009107j),1.0384894148709476,-3.9228282380108137
22,(1.014697459683457-0.3356351538181893j),1.068766527903368,-18.302853020187968
23,(1.0037167025754339-0.3738156080145512j),1.0710673778171897,-20.426910249899233
24,(1.0381870774557822-0.07824641187151904j),1.0411315520946167,-4.310137671924919
25,(0.9913817598130102-0.22453082464935045j),1.0164899826892828,-12.761217120480024
26,(1.050630685087331-0.10915098998224777j),1.056285366300783,-5.931233163714499
27,(1.0071437869297994-0.3518572654908007j),1.0668374491130133,-19.257448840277345
28,(1.0011903743990815-0.1578952773931795j),1.0135645437822114,-8.962161972906872
29,(1.0194395639874376-0.10527334930658827j),1.024860723560584,-5.895802485230781
30,(0.9893263603832546-0.31824652663125325j),1.0392533372869361,-17.831945980240448
31,(1.0377181491243053+0.09418706561800534j),1.0419837620384036,5.186162788992944
