,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9002447784913788-0.31872298128470145j),0.955,-19.49601774975968
1,(0.9186982334301388-0.3152065802240986j),0.9712680537957731,-18.937162412151615
2,(0.9171027857537706-0.3084268432901526j),0.9675766829038692,-18.58808269806203
3,(0.9649431989899646-0.2547324532190855j),0.998,-14.787980905665284
4,(0.9708114810064712-0.24805722263733154j),1.00200165536616,-14.33327230803407
5,(0.9461436583668574-0.291396941871701j),0.99,-17.117985814044935
6,(0.9431528758172261-0.2986653893403164j),0.9893120649987579,-17.57127600455226
7,(1.0019113575707022-0.16247655698848545j),1.015,-9.211274218588224
8,(1.0420361562293725-0.03287251533472401j),1.0425545324603969,-1.80687777619404
9,(1.044386097783995+0.10843283061656177j),1.05,5.927466272075331
10,(0.9397975184001837-0.2946682144347528j),0.9849105198896543,-17.40852238905889
11,(0.9418833207381235-0.30488655286077343j),0.99,-17.93670782825564
12,(0.9161402976561288-0.31209610750392935j),0.9678414257039034,-18.812133499022128
13,(0.9317893220674108-0.3148106530540805j),0.9835329623328247,-18.6678504811329
14,(0.9173098071044773-0.31534539443275j),0.97,-18.97153328195409
15,(0.9342567394193839-0.30793172462011065j),0.9836958890724583,-18.24225877905693
16,(0.9546176824802934-0.28086996356007243j),0.995079321528833,-16.395067420791904
17,(0.9218489763200496-0.31132533603559565j),0.973,-18.660770398118665
18,(0.9098398107219885-0.31603228250356713j),0.9631639968141658,-19.15463828079688
19,(0.9091337327336383-0.29986246087265894j),0.9573095839041859,-18.254269562729466
20,(0.9176079538665339-0.27408823807661514j),0.9576683764493168,-16.630813290803353
21,(0.9398989969213536-0.23468815465108872j),0.9687562409333423,-14.019799310439113
22,(0.9870505567895697-0.15624368831678892j),0.9993402282493352,-8.99491699868648
23,(0.9794343793364392-0.15739217443648296j),0.992,-9.129211473257254
24,(1.0494109606966648-0.035165829575073505j),1.05,-1.9192671172178517
25,(1.0149983342004867-0.0018389046296487907j),1.015,-0.10380446487201192
26,(0.9360188180016692-0.2467646091860785j),0.968,-14.76897026364742
27,(0.9216884782496336-0.27350333255186543j),0.9614123589049091,-16.527814494328712
