,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9002447784913808-0.31872298128469595j),0.955,-19.49601774975933
1,(0.9186982334301408-0.3152065802240928j),0.9712680537957732,-18.937162412151253
2,(0.9171027857537724-0.30842684329014686j),0.9675766829038691,-18.58808269806168
3,(0.9649431989899661-0.2547324532190798j),0.998,-14.787980905664941
4,(0.970811481006473-0.24805722263732574j),1.0020016553661601,-14.333272308033724
5,(0.9461436583668591-0.2913969418716953j),0.99,-17.117985814044587
6,(0.943152875817228-0.29866538934031067j),0.989312064998758,-17.571276004551912
7,(1.001911357570703-0.16247655698847996j),1.015,-9.21127421858791
8,(1.0420361562293727-0.032872515334718196j),1.0425545324603969,-1.80687777619372
9,(1.0443860977839943+0.1084328306165676j),1.05,5.927466272075651
10,(0.9397975184001855-0.2946682144347471j),0.9849105198896543,-17.408522389058547
11,(0.9418833207381254-0.3048865528607677j),0.99,-17.936707828255283
12,(0.9161402976561305-0.3120961075039239j),0.9678414257039033,-18.812133499021787
13,(0.9317893220674128-0.31481065305407524j),0.983532962332825,-18.66785048113257
14,(0.9173098071044788-0.31534539443274534j),0.97,-18.9715332819538
15,(0.9342567394193858-0.30793172462010543j),0.9836958890724585,-18.242258779056602
16,(0.9546176824802951-0.28086996356006766j),0.9950793215288333,-16.395067420791616
17,(0.9218489763200512-0.31132533603559104j),0.973,-18.66077039811838
18,(0.9098398107219903-0.31603228250356286j),0.9631639968141661,-19.154638280796604
19,(0.9091337327336402-0.29986246087265483j),0.9573095839041863,-18.254269562729203
20,(0.9176079538665352-0.274088238076611j),0.9576683764493168,-16.630813290803097
21,(0.9398989969213548-0.2346881546510848j),0.9687562409333426,-14.01979931043887
22,(0.9870505567895702-0.1562436883167849j),0.9993402282493351,-8.994916998686248
23,(0.9794343793364397-0.15739217443647957j),0.992,-9.129211473257056
24,(1.049410960696665-0.0351658295750688j),1.05,-1.9192671172175946
25,(1.0149983342004867-0.0018389046296441614j),1.015,-0.10380446487175059
26,(0.9360188180016704-0.2467646091860738j),0.968,-14.76897026364713
27,(0.9216884782496352-0.273503332551861j),0.9614123589049093,-16.527814494328435
28,(0.918339333429955-0.29026145038425577j),0.9631193284862193,-17.54029256049677
29,(0.9661812173996178-0.19227758664214448j),0.9851278166718951,-11.255259006252235
30,(0.9226427361314792-0.28951577066511897j),0.9670000000000001,-17.421319086248324
31,(0.9289690200270797-0.25461783120395204j),0.9632308550586807,-15.327578024798216
32,(0.9149494030851798-0.3257904036643763j),0.971221806450887,-19.599531845919856
33,(0.9322522560175489-0.3198510563124803j),0.9855957422158534,-18.9368365056697
34,(0.9250579146755515-0.3253610756681771j),0.9806079619622886,-19.37777686061418
35,(0.9245022823368271-0.3251084895138816j),0.98,-19.37462434566443
36,(0.9406977592519424-0.3140623193859371j),0.9917395901746082,-18.462155638115266
37,(0.9359628853758621-0.2198332805209119j),0.9614328858665565,-13.217705709366113
38,(0.9001070238196708-0.3620093291060711j),0.9701769986395952,-21.9092398810011
39,(0.8928340582466316-0.37914027013079227j),0.97,-23.008411236786742
40,(0.8867608402252259-0.38484384888698947j),0.9666693208037073,-23.460280456014054
41,(0.9144001985373169-0.3661929503894299j),0.985,-21.82478794557289
42,(0.9244528733799572-0.31784795694762574j),0.9775686363812205,-18.974137043168817
43,(0.9436753545049681-0.27814738332050526j),0.9838135705244776,-16.422829323777865
44,(0.954026373660309-0.24764383432557555j),0.9856438455745121,-14.551542205949504
45,(0.984141067770718-0.203694277600307j),1.005,-11.693773153781756
46,(1.0031830414481335-0.16635509099995885j),1.0168826043112018,-9.415521014172924
47,(1.0043074481762857-0.1809431230091515j),1.0204772727634202,-10.21324504106578
48,(1.0118400510823675-0.16372144338977682j),1.025,-9.191122509097235
49,(0.9815600218065178-0.19569672767146365j),1.000878257147257,-11.275394632204403
50,(0.9378088928430948-0.23301976482006964j),0.9663248575362179,-13.95384537181186
51,(0.9238740431438682-0.2463245535836765j),0.9561480185061283,-14.928993595131338
52,(0.9091416584464641-0.25946685523592j),0.945442544044219,-15.92861961634895
53,(0.9224519294993672-0.2471991864122827j),0.955,-15.001676927311372
54,(0.9182668930897757-0.25117705519264794j),0.9520000000000001,-15.298122610535412
55,(0.9210286541299196-0.24864074137524014j),0.9540000000000001,-15.107430057214142
56,(0.942089822006261-0.23262573226797656j),0.9703854718826952,-13.870314776993855
57,(0.927080426368702-0.24401109839459414j),0.9586550647108222,-14.746023058330042
58,(0.9675399840840195-0.18463850952251332j),0.985,-10.804021742912212
59,(0.9858298668234934-0.12003237121243648j),0.9931104150395901,-6.9420315045854375
60,(0.9894901404011798-0.10456702180349904j),0.995,-6.032494996310037
61,(0.9912616916162598-0.11577676249606873j),0.998,-6.661813347043388
62,(0.9606386662908897-0.12397743767847491j),0.9686057258897758,-7.353790956468346
63,(0.9790411063908487-0.09511659862235478j),0.9836506774950665,-5.549031452528124
64,(1.0041523017285994-0.04126929770610978j),1.005,-2.3534543540568436
65,(1.048986755103859-0.04611710763563658j),1.05,-2.517300856822536
66,(1.0152885682162087-0.09264692702596755j),1.01950690524286,-5.213904128886017
67,(1.002322106500823-0.04321648412488053j),1.0032533427207524,-2.4688565196677654
68,(1.035+0j),1.035,0.0
69,(0.9754354124501576-0.12954441762650742j),0.9840000000000001,-7.564997943500835
70,(0.9772704084575883-0.13710635080885683j),0.986841224655204,-7.986198494976361
71,(0.9676038311999615-0.15537961850627757j),0.98,-9.122779679430174
72,(0.9808656804156658-0.14136306795876005j),0.991,-8.201039446489457
73,(0.9473731686309755-0.1422957460998226j),0.958,-8.541989796286726
74,(0.9593666977551149-0.1219921790820971j),0.9670918014949523,-7.246786360942614
75,(0.9328441354666082-0.13802470404082162j),0.943,-8.416485416985996
76,(1.0042867173668695-0.058687215988472076j),1.006,-3.344373714631766
77,(1.001213361388052-0.06391308548770279j),1.0032512534348117,-3.6525561761786793
78,(1.0072175068302867-0.05886715304730036j),1.0089362952006995,-3.344865307364012
79,(1.0398250751361688-0.019073885761981855j),1.04,-1.0508792583978241
80,(0.9962605649945884-0.03325948323708072j),0.9968155830385749,-1.91207060603524
81,(0.9868191070789732-0.04856868911804056j),0.9880135968997527,-2.817676697476004
82,(0.983467819194558-0.02759742800875617j),0.9838549534479146,-1.607374718690015
83,(0.9792684213537163+0.016521542893691586j),0.9794077814884807,0.9665632612892823
84,(0.9840281600532238+0.04374448790724374j),0.985,2.5453798533698793
85,(0.9862401481535814+0.01984673650288208j),0.986439822178633,1.1528437368133775
86,(1.014688381138769+0.025149337605273745j),1.015,1.4198013638541722
87,(0.9822543594104765+0.09873825988949173j),0.9872045738077241,5.740208912653184
88,(0.990101789955683+0.1724048883487715j),1.005,9.877785967071189
89,(0.9833304412468078+0.057325764865009156j),0.985,3.3364277984119437
90,(0.9783214026394592+0.05733439750761485j),0.98,3.353975378130254
91,(0.9895585672493918+0.06703462168034456j),0.9918264961778829,3.8754067176801708
92,(0.986097298503723+0.013904344304743245j),0.9861953218845065,0.8078385931714779
93,(0.9895834941975972-0.023953218191741066j),0.9898733498029266,-1.3865938321264413
94,(0.9791248589413529-0.04060614288114316j),0.9799665036298987,-2.3748024912725723
95,(0.9909321554707383-0.04395917987484408j),0.99190672255064,-2.540058078843955
96,(1.010144860368815-0.037971909928238665j),1.0108583010853356,-2.1527667704274696
97,(1.0222019157741657-0.047188049568047376j),1.0232905103803176,-2.6430766277583015
98,(1.0085924897017038-0.05330281153296156j),1.01,-3.0251936627109934
99,(1.0163720741592992-0.035732434413627105j),1.0170000000000001,-2.0135094846190116
100,(0.9918461991706955-0.00710151775587446j),0.9918716219167639,-0.4102249352759768
101,(0.9896291296272306+0.04047534916588757j),0.9904564948026998,2.342064132826051
102,(0.9955358741368547-0.09911970996629645j),1.0004580918745343,-5.685868488539917
103,(0.9603318331252929-0.14354013475754618j),0.971,-8.50102598750188
104,(0.9520232301336046-0.16176936895686753j),0.9656694876854737,-9.643682861854716
105,(0.9469980506938938-0.16520272018208082j),0.9612997694650683,-9.895602387553831
106,(0.9285077698303021-0.21018401786234564j),0.9520000000000001,-12.75494022727866
107,(0.9492413345624654-0.18211367744471751j),0.9665528970285946,-10.860336865872831
