,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9396056053685443-0.3876315271527586j),1.0164235802473143,-22.418451545766988
1,(1.0170439323704714-0.12757385310330832j),1.0250138771583615,-7.14960780489424
2,(0.9361895521935587-0.4381461726898662j),1.0336454644989035,-25.08006907225359
3,(0.9523548060617407-0.39793648411048865j),1.0321497575522232,-22.67735644447859
4,(0.974650836367995-0.3378282030681j),1.031538728124666,-19.11706278545536
5,(1.0302728255780826-0.0612264381386952j),1.0320904862713336,-3.400939523605572
6,(0.963268931684-0.24136546730659186j),0.993047996602261,-14.066930452534335
7,(0.9591358934605484-0.4055245877485872j),1.0413413721700613,-22.918739330651576
8,(1.0490677481775192-0.1737985786215329j),1.0633668634093862,-9.40672656210481
9,(0.9478868251852202-0.2723801825669062j),0.9862456069432691,-16.03227854717444
10,(0.9235081978091879-0.42444442066967475j),1.0163761398509854,-24.683514326898546
11,(0.911534591931978-0.49755208197284545j),1.0384861032118393,-28.627479721004672
12,(0.9893911726588014-0.2839282688556539j),1.0293250965513892,-16.01203457825119
13,(0.9959496931032881-0.263574052671263j),1.0302364157969215,-14.8232709045508
14,(0.9965630205356636-0.37109970436278367j),1.0634156499117882,-20.42430249611096
15,(0.9991139836704185-0.20638171407952824j),1.0202069222820327,-11.671136624081713
16,(1.0696387709506134+0.15998494319235568j),1.081537,8.506620435176494
17,(0.9756778069093225-0.292330346535137j),1.0185304189864623,-16.679146873415082
18,(1.0259988193369327-0.16443078999784397j),1.0390914598725633,-9.10503110965374
19,(1.0307973463124926-0.14806403057469625j),1.041377033698603,-8.174071174874468
20,(1.0617299774513176+0.047790407052302496j),1.062805,2.5772481507828036
21,(1.0207914255877335-0.19995839339490595j),1.0401915658389609,-11.083086088745992
22,(0.9598397443512717-0.4700231256947923j),1.068744157188341,-26.090491008764026
23,(0.938690670879563-0.5165700543918581j),1.0714405241032894,-28.8243906858339
24,(1.0164004842096979-0.2270500762187295j),1.0414517182340424,-12.592357219313966
25,(0.9535356262549958-0.3516379891572851j),1.0163067774821173,-20.242601718716138
26,(1.0437560723275396-0.16225185938856243j),1.056291817821031,-8.835908282053964
27,(0.9503810483636026-0.4880855060374769j),1.068387382129048,-27.18359154281608
28,(0.9704368222109266-0.2953476267459708j),1.014385452639833,-16.927366602227337
29,(0.9938445480342015-0.25144242379151355j),1.0251586599836424,-14.197891867505724
30,(0.9392090483747966-0.4449029532424299j),1.0392556347467772,-25.3468962366025
31,(1.0408073282347308-0.05231525691670485j),1.04212128882073,-2.877499836853215
32,(1.014898291378962-0.24540892083078936j),1.0441475375957503,-13.593556311100949
33,(0.943248613799266-0.2826317280309541j),0.984682,-16.68013579173626
34,(0.99102978757645-0.37695407487789906j),1.0602992098605357,-20.82511497551973
35,(1.0124278740367452-0.20843051966315135j),1.0336602351128803,-11.633063222223894
36,(1.0083305463248404-0.23016529001811464j),1.0342661898084429,-12.85824586322333
37,(1.0052495706727933-0.2733111108338317j),1.0417416487032944,-15.210129392816674
38,(0.8854741971696009-0.5902092592426128j),1.0641482620146794,-33.68527973881229
39,(0.9665569610911293-0.34160736981427964j),1.0251477718578668,-19.464785610291823
40,(0.9589248540514695-0.28641351026376005j),1.0007844795855105,-16.629933989474104
41,(0.7310772569486165-0.6950504816107846j),1.0087463147961915,-43.552904349765946
42,(1.0419514998931594-0.11473028314876456j),1.048249,-6.28358012202047
43,(0.9641123791957913-0.38916803944076217j),1.0396943986771958,-21.98167477650614
44,(0.9421606872296803-0.44089378360954906j),1.0402182891040934,-25.077727329223094
45,(1.0553766690788644+0.001676081143941241j),1.055378,0.09099338439652431
46,(0.9708017003638473-0.43998428998258315j),1.065852765095074,-24.380864059735213
47,(0.991852810128271-0.2645322061884284j),1.026522910153624,-14.933473207663123
48,(1.015621029906211-0.22286726574035276j),1.0397864658314868,-12.376777552467594
49,(0.9044349481985456-0.47358207228925675j),1.0209224038665685,-27.63754545260612
50,(1.0424243682790622-0.12698209841547822j),1.05013,-6.945222175295816
51,(1.0376524850634705-0.12871460935334164j),1.0456051503408823,-7.071080361538286
52,(0.982098926649112-0.33950264407034936j),1.0391247985954797,-19.06980101994206
53,(1.045302589002322+0.04477878801425401j),1.0462612687235358,2.452943210118667
54,(1.0088716684744976-0.2312622480985951j),1.0350382943863152,-12.910780513506264
55,(1.009164841557823-0.15740146626186763j),1.021366192419649,-8.865110290829628
56,(1.0089799984636174-0.14193344248752207j),1.018914,-8.007269743675407
57,(0.8809336497657283-0.5495405747749527j),1.038286539743992,-31.95657795508363
58,(0.9466630071852884-0.4166408061370359j),1.034292226844818,-23.755025534698994
59,(1.0018795009780743-0.279066997871799j),1.0400196747087307,-15.564831538379817
60,(1.0361423407274757-0.1242031586468686j),1.0435599526936972,-6.835472900699674
61,(1.0481388256074256-0.17829096688496043j),1.0631945572746726,-9.6537494830611
62,(1.0290857146447145-0.13758374535397422j),1.038242117750696,-7.6150095718526405
63,(0.8864291044226902-0.6092139142340623j),1.075592,-34.49947625091535
64,(0.921911284697981-0.49487575992921384j),1.0463376293620519,-28.226603432485017
65,(1.0554298823251802-0.2029460084260485j),1.0747647737253998,-10.884413205140232
66,(0.9492822571877194-0.37373239859167534j),1.0202022885528625,-21.489558376193447
67,(0.9488786262578436-0.41251080722571865j),1.0346670060686125,-23.49627445477837
68,(1.0343915619590873-0.209552156752486j),1.05540419264459,-11.452271411165283
69,(0.7069250599112723-0.8029728346329309j),1.069817,-48.63980061592925
70,(1.0210828804342815-0.21477845495194064j),1.0434270618627408,-11.878644196493873
