,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9378459815687868-0.38870146969567804j),1.0152063424192648,-22.512146090615627
1,(1.0166202927525014-0.1271205119926761j),1.024537185369795,-7.1274011278494545
2,(0.9370378508370613-0.43325740163676496j),1.032352609322212,-24.814365325797965
3,(0.6516212582658312-0.7901281572234561j),1.0241644248172652,-50.48748702752642
4,(0.9531041055739985-0.39246592335071734j),1.0307458159282252,-22.380715440450587
5,(0.9734776730396596-0.334077453823432j),1.0292067455374831,-18.941163024333434
6,(1.0308718250116315-0.060713971123199255j),1.0326581747569525,-3.3705844137751133
7,(0.966932761826629-0.241118906451097j),0.9965426699052305,-14.001979985792495
8,(0.7162171634984339-0.7001475249889619j),1.0015855340598283,-44.34996758332039
9,(0.7902367183383047-0.6635978550831118j),1.031909,-40.021714244434236
10,(0.9106437204503613+0.4768319153516907j),1.0279302802688701,27.637485855548768
11,(0.7747689266997736-0.6409882400024831j),1.005551,-39.60191604891431
12,(0.6637379485515482-0.8097709704771151j),1.0470325157199591,-50.65985209335697
13,(0.9598630580980998-0.40047282196521955j),1.040055561705346,-22.646810210815
14,(0.6558363536868569-0.7705096240041253j),1.0118331895625141,-49.59649568750929
15,(1.010547601052142+0.02056658657932241j),1.0107568641744482,1.1659183140674771
16,(1.0461942522513656-0.17341451884405673j),1.0604692399073674,-9.411629882444252
17,(0.9580657729031911-0.27468965960381875j),0.996666661578409,-15.998271451801987
18,(0.921599850502714-0.4239579670460739j),1.0144390776525047,-24.70356092452112
19,(1.0090929294393247-0.0014328262622014553j),1.0090939466846165,-0.08135508636772604
20,(1.033291821864256+0.07839258347642898j),1.0362612538716587,4.338538485481461
21,(0.7425456198131954-0.6825860160328747j),1.0086117522552445,-42.59081390328732
22,(0.5904853796532749-0.836691749715246j),1.0240732725864063,-54.78791770399404
23,(0.9106176467176721+0.47701663479846346j),1.027992883432605,27.647280713886268
24,(0.6240132370844864-0.7990172652015447j),1.0138151262172088,-52.011020829106606
25,(0.9935475628463418-0.04403725798207935j),0.9945230212159424,-2.5378741574526935
26,(0.913419563694414-0.49647852301025863j),1.0396279253416298,-28.52577444440282
27,(1.0084487716744988+0.04027566241447179j),1.009252720617948,2.2870767216974754
28,(0.9939326610837941-0.28392712350446875j),1.03369083687079,-15.942537290499041
29,(0.9965981919875897-0.26035296157694965j),1.030044475192611,-14.640832986834546
30,(0.996952827879346-0.3658148169403082j),1.0619488788589102,-20.14974978932344
31,(1.0009072463011996-0.20588623128033726j),1.0218632276039052,-11.623589063255691
32,(1.067264115308481+0.16067473620891784j),1.079291,8.561483867350185
33,(0.9769657533254209-0.2854730975294271j),1.01781971516755,-16.28856285187129
34,(0.6995746914373998-0.7997958699092821j),1.0625809062954588,-48.82408569156859
35,(0.7493506006949487-0.7605193310317391j),1.0676684764639464,-45.42381759253913
36,(1.0156779539872063+0.04909788783722967j),1.0168639578654142,2.7675245225090706
37,(0.778324580397082-0.7353061242282133j),1.070730707870943,-43.37205160836322
38,(0.9465585202559976+0.3241728422899603j),1.0005303913163135,18.905061561308347
39,(0.9701709480684679+0.33226825073199373j),1.0254920082187715,18.905523373606457
40,(1.007379010007633+0.09857673758701897j),1.0121906159401295,5.588865954318894
41,(1.0291441559866892-0.16422820021690024j),1.0421653398324267,-9.066669354984747
42,(1.0309629099075972-0.14774318789800334j),1.0414953534103766,-8.155304969234471
43,(1.0609577048407126+0.04852897101863771j),1.062067,2.6189248680358554
44,(1.016581894377399-0.19901919933481174j),1.0358800073752803,-11.07686524724836
45,(1.0128561838506784+0.002615868458055629j),1.0128595618013136,0.14797548907909255
46,(0.9549304023335744-0.46630171595223574j),1.0626990936295004,-26.026702676884277
47,(0.670104164561547-0.764253750310596j),1.016426773666721,-48.75544114435501
48,(0.9390269828346792-0.5126718541373981j),1.0698617221474365,-28.632806816566024
49,(0.6906952550725939-0.6847371318253883j),0.9725866928352735,-44.751806643571335
50,(0.6518661151059778-0.8187724130186981j),1.0465742669986786,-51.47493027971493
51,(1.0191830338666428-0.21617276480751724j),1.0418563820249604,-11.97518692478102
52,(0.9541067092595394-0.34842839255504104j),1.0157371497550718,-20.061590632287054
53,(0.9982617375119477+0.25202522983944914j),1.029584,14.169042760904057
54,(1.0407070618929526-0.161385336180809j),1.0531459611127294,-8.81480503680455
55,(0.9516467246485817-0.4826089651303604j),1.0670252582570718,-26.890950683281222
56,(0.9711059223865992-0.2889452125832398j),1.0131811527901124,-16.56997482631411
57,(1.0086387453830858+0.025249098465143213j),1.0089547242871049,1.4339769489925023
58,(0.6167118237542797-0.8177435962100288j),1.0242255917037224,-52.977759106092314
59,(1.0010761534262438+0.10887004134125654j),1.0069787241348902,6.206695666214997
60,(0.9970940281007462-0.24046098390597284j),1.025679280114013,-13.558657147036184
